"date","product","pinkLine","whiteDashed"
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-06-01","Велика побутова техніка",0.98,1.05
"2018-07-01","Велика побутова техніка",0.98,1.07
"2018-07-01","Велика побутова техніка",0.98,1.07
"2018-07-01","Велика побутова техніка",0.98,1.07
"2018-07-01","Велика побутова техніка",0.98,1.07
"2018-08-01","Велика побутова техніка",0.98,1.08
"2018-08-01","Велика побутова техніка",0.98,1.08
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-05-01","Велика побутова техніка",0.99,NA
"2018-06-01","Велика побутова техніка",0.98,1.05
"2018-07-01","Велика побутова техніка",0.98,1.07
"2018-07-01","Велика побутова техніка",0.98,1.07
"2018-07-01","Велика побутова техніка",0.98,1.07
"2018-07-01","Велика побутова техніка",0.98,1.07
"2018-08-01","Велика побутова техніка",0.98,1.08
"2018-08-01","Велика побутова техніка",0.98,1.08
"2018-08-01","Велика побутова техніка",0.98,1.08
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-10-01","Велика побутова техніка",1,1.11
"2018-10-01","Велика побутова техніка",1,1.11
"2018-10-01","Велика побутова техніка",1,1.11
"2018-11-01","Велика побутова техніка",1,1.13
"2018-11-01","Велика побутова техніка",1,1.13
"2018-11-01","Велика побутова техніка",1,1.13
"2018-05-01","Телефони, планешти, ноутбуки і аксесуари",1.04,NA
"2018-05-01","Телефони, планешти, ноутбуки і аксесуари",1.04,NA
"2018-05-01","Телефони, планешти, ноутбуки і аксесуари",1.04,NA
"2018-06-01","Телефони, планешти, ноутбуки і аксесуари",1.02,1.17
"2018-07-01","Телефони, планешти, ноутбуки і аксесуари",1,1.1
"2018-07-01","Телефони, планешти, ноутбуки і аксесуари",1,1.1
"2018-07-01","Телефони, планешти, ноутбуки і аксесуари",1,1.1
"2018-07-01","Телефони, планешти, ноутбуки і аксесуари",1,1.1
"2018-08-01","Телефони, планешти, ноутбуки і аксесуари",1,1.11
"2018-08-01","Телефони, планешти, ноутбуки і аксесуари",1,1.11
"2018-08-01","Телефони, планешти, ноутбуки і аксесуари",1,1.11
"2018-09-01","Телефони, планешти, ноутбуки і аксесуари",1.01,1.11
"2018-09-01","Телефони, планешти, ноутбуки і аксесуари",1.01,1.11
"2018-09-01","Телефони, планешти, ноутбуки і аксесуари",1.01,1.11
"2018-09-01","Телефони, планешти, ноутбуки і аксесуари",1.01,1.11
"2018-10-01","Телефони, планешти, ноутбуки і аксесуари",1.01,1.1
"2018-10-01","Телефони, планешти, ноутбуки і аксесуари",1.01,1.1
"2018-10-01","Телефони, планешти, ноутбуки і аксесуари",1.01,1.1
"2018-11-01","Телефони, планешти, ноутбуки і аксесуари",1,1.1
"2018-11-01","Телефони, планешти, ноутбуки і аксесуари",1,1.1
"2018-11-01","Телефони, планешти, ноутбуки і аксесуари",1,1.1
"2018-08-01","Велика побутова техніка",0.98,1.08
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-09-01","Велика побутова техніка",1,1.1
"2018-10-01","Велика побутова техніка",1,1.11
"2018-10-01","Велика побутова техніка",1,1.11
"2018-10-01","Велика побутова техніка",1,1.11
"2018-11-01","Велика побутова техніка",1,1.13
"2018-11-01","Велика побутова техніка",1,1.13
"2018-11-01","Велика побутова техніка",1,1.13
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-05-01","Дрібна побутова техніка",1,NA
"2018-06-01","Дрібна побутова техніка",1,1.09
"2018-07-01","Дрібна побутова техніка",1,1.13
"2018-07-01","Дрібна побутова техніка",1,1.13
"2018-07-01","Дрібна побутова техніка",1,1.13
"2018-07-01","Дрібна побутова техніка",1,1.13
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-08-01","Дрібна побутова техніка",1,1.16
"2018-08-01","Дрібна побутова техніка",1,1.16
